level,level_ja,word,readings,rank
intermediate,中級,国会,こっかい,2
intermediate,中級,憲法,けんぽう,3
intermediate,中級,条約,じょうやく,3
intermediate,中級,貿易,ぼうえき,3
intermediate,中級,輸出,ゆしゅつ,2
intermediate,中級,輸入,ゆにゅう,2
intermediate,中級,企業,きぎょう,2
intermediate,中級,市場,しじょう/いちば,2
intermediate,中級,価格,かかく,2
intermediate,中級,消費,しょうひ,2
intermediate,中級,生産,せいさん,2
intermediate,中級,労働,ろうどう,2
intermediate,中級,職業,しょくぎょう,2
intermediate,中級,技術,ぎじゅつ,2
intermediate,中級,情報,じょうほう,1
intermediate,中級,通信,つうしん,2
intermediate,中級,報道,ほうどう,2
intermediate,中級,新聞,しんぶん,1
intermediate,中級,雑誌,ざっし,2
intermediate,中級,記事,きじ,1
intermediate,中級,編集,へんしゅう,3
intermediate,中級,出版,しゅっぱん,2
intermediate,中級,放送,ほうそう,1
intermediate,中級,映像,えいぞう,2
intermediate,中級,写真,しゃしん,1
intermediate,中級,芸術,げいじゅつ,3
intermediate,中級,演劇,えんげき,2
intermediate,中級,文学,ぶんがく,2
intermediate,中級,作品,さくひん,1
intermediate,中級,作者,さくしゃ,1
intermediate,中級,表現,ひょうげん,2
intermediate,中級,意見,いけん,1
intermediate,中級,賛成,さんせい,2
intermediate,中級,反対,はんたい,1
intermediate,中級,理由,りゆう,1
intermediate,中級,目的,もくてき,1
intermediate,中級,結果,けっか,1
intermediate,中級,原因,げんいん,1
intermediate,中級,関係,かんけい,1
intermediate,中級,比較,ひかく,2
intermediate,中級,変化,へんか,1
intermediate,中級,増加,ぞうか,2
intermediate,中級,減少,げんしょう,2
intermediate,中級,平均,へいきん,2
intermediate,中級,割合,わりあい,2
intermediate,中級,単位,たんい,2
intermediate,中級,面積,めんせき,2
intermediate,中級,体積,たいせき,2
intermediate,中級,速度,そくど,2
intermediate,中級,温度,おんど,1
intermediate,中級,湿度,しつど,2
intermediate,中級,気圧,きあつ,2
intermediate,中級,酸素,さんそ,2
intermediate,中級,二酸化炭素,にさんかたんそ,4
intermediate,中級,化学,かがく,2
intermediate,中級,物質,ぶっしつ,2
intermediate,中級,固体,こたい,2
intermediate,中級,液体,えきたい,2
intermediate,中級,気体,きたい,1
intermediate,中級,電流,でんりゅう,2
intermediate,中級,電圧,でんあつ,3
intermediate,中級,磁力,じりょく,3
intermediate,中級,宇宙,うちゅう,2
intermediate,中級,惑星,わくせい,3
intermediate,中級,衛星,えいせい,2
intermediate,中級,恒星,こうせい,3
intermediate,中級,地球,ちきゅう,1
intermediate,中級,生命,せいめい,1
intermediate,中級,細胞,さいぼう,2
intermediate,中級,遺伝,いでん,3
intermediate,中級,進化,しんか,2
intermediate,中級,健康,けんこう,1
intermediate,中級,栄養,えいよう,2
intermediate,中級,運営,うんえい,2
intermediate,中級,管理,かんり,1
intermediate,中級,計画,けいかく,1
intermediate,中級,実行,じっこう,1
intermediate,中級,改善,かいぜん,2
intermediate,中級,確認,かくにん,1
intermediate,中級,判断,はんだん,2
intermediate,中級,説明,せつめい,1
intermediate,中級,報告,ほうこく,1
intermediate,中級,連絡,れんらく,1
intermediate,中級,相談,そうだん,1
intermediate,中級,臨機応変,りんきおうへん,4
intermediate,中級,試行錯誤,しこうさくご,4
advanced,上級,概念,がいねん,1
advanced,上級,抽象,ちゅうしょう,2
advanced,上級,具体,ぐたい,1
advanced,上級,論理,ろんり,1
advanced,上級,矛盾,むじゅん,2
advanced,上級,仮説,かせつ,2
advanced,上級,検証,けんしょう,2
advanced,上級,分析,ぶんせき,1
advanced,上級,統計,とうけい,2
advanced,上級,確率,かくりつ,2
advanced,上級,傾向,けいこう,2
advanced,上級,推測,すいそく,2
advanced,上級,認識,にんしき,2
advanced,上級,理解,りかい,1
advanced,上級,解釈,かいしゃく,2
advanced,上級,主張,しゅちょう,2
advanced,上級,根拠,こんきょ,2
advanced,上級,批判,ひはん,2
advanced,上級,評価,ひょうか,1
advanced,上級,価値,かち,1
advanced,上級,倫理,りんり,2
advanced,上級,哲学,てつがく,2
advanced,上級,思想,しそう,2
advanced,上級,心理,しんり,1
advanced,上級,感情,かんじょう,1
advanced,上級,意識,いしき,1
advanced,上級,無意識,むいしき,2
advanced,上級,記憶,きおく,1
advanced,上級,知覚,ちかく,2
advanced,上級,錯覚,さっかく,3
advanced,上級,現象,げんしょう,2
advanced,上級,本質,ほんしつ,2
advanced,上級,構造,こうぞう,2
advanced,上級,機能,きのう,1
advanced,上級,要素,ようそ,1
advanced,上級,条件,じょうけん,1
advanced,上級,過程,かてい,2
advanced,上級,段階,だんかい,1
advanced,上級,範囲,はんい,2
advanced,上級,限界,げんかい,1
advanced,上級,基準,きじゅん,2
advanced,上級,原則,げんそく,2
advanced,上級,例外,れいがい,1
advanced,上級,対象,たいしょう,1
advanced,上級,象徴,しょうちょう,3
advanced,上級,比喩,ひゆ,3
advanced,上級,文脈,ぶんみゃく,3
advanced,上級,語彙,ごい,3
advanced,上級,敬語,けいご,1
advanced,上級,慣用,かんよう,2
advanced,上級,修辞,しゅうじ,3
advanced,上級,韻律,いんりつ,4
advanced,上級,随筆,ずいひつ,3
advanced,上級,評論,ひょうろん,2
advanced,上級,論文,ろんぶん,1
advanced,上級,序論,じょろん,2
advanced,上級,本論,ほんろん,1
advanced,上級,結論,けつろん,1
advanced,上級,要約,ようやく,2
advanced,上級,引用,いんよう,2
advanced,上級,出典,しゅってん,2
advanced,上級,著作,ちょさく,2
advanced,上級,権威,けんい,2
advanced,上級,政策,せいさく,1
advanced,上級,行政,ぎょうせい,2
advanced,上級,司法,しほう,2
advanced,上級,立法,りっぽう,2
advanced,上級,財政,ざいせい,2
advanced,上級,金融,きんゆう,2
advanced,上級,景気,けいき,1
advanced,上級,需要,じゅよう,2
advanced,上級,供給,きょうきゅう,2
advanced,上級,雇用,こよう,2
advanced,上級,賃金,ちんぎん,3
advanced,上級,契約,けいやく,2
advanced,上級,交渉,こうしょう,2
advanced,上級,合意,ごうい,1
advanced,上級,紛争,ふんそう,2
advanced,上級,秩序,ちつじょ,3
advanced,上級,治安,ちあん,2
advanced,上級,防災,ぼうさい,2
advanced,上級,復興,ふっこう,2
advanced,上級,支援,しえん,1
advanced,上級,福祉,ふくし,2
advanced,上級,医療,いりょう,2
advanced,上級,診断,しんだん,2
advanced,上級,治療,ちりょう,2
advanced,上級,症状,しょうじょう,2
advanced,上級,免疫,めんえき,3
advanced,上級,感染,かんせん,2
advanced,上級,細菌,さいきん,2
advanced,上級,遺伝子,いでんし,3
advanced,上級,生態,せいたい,2
advanced,上級,循環,じゅんかん,3
advanced,上級,代謝,たいしゃ,3
advanced,上級,粒子,りゅうし,2
advanced,上級,原子,げんし,1
advanced,上級,分子,ぶんし,1
advanced,上級,元素,げんそ,1
advanced,上級,反応,はんのう,1
advanced,上級,作用,さよう,1
advanced,上級,因果応報,いんがおうほう,4
advanced,上級,自業自得,じごうじとく,4
expert,超級,相殺,そうさい,1
expert,超級,続柄,つづきがら,2
expert,超級,凡例,はんれい,2
expert,超級,重複,ちょうふく/じゅうふく,1
expert,超級,早急,さっきゅう/そうきゅう,1
expert,超級,代替,だいたい,1
expert,超級,依存,いぞん/いそん,1
expert,超級,施策,しさく,2
expert,超級,脆弱,ぜいじゃく,3
expert,超級,進捗,しんちょく,3
expert,超級,踏襲,とうしゅう,3
expert,超級,遵守,じゅんしゅ,3
expert,超級,漏洩,ろうえい,3
expert,超級,概算,がいさん,1
expert,超級,概況,がいきょう,2
expert,超級,勘案,かんあん,2
expert,超級,鑑みる,かんがみる,3
expert,超級,委嘱,いしょく,3
expert,超級,委託,いたく,2
expert,超級,諮問,しもん,3
expert,超級,答申,とうしん,2
expert,超級,罷免,ひめん,4
expert,超級,弾劾,だんがい,4
expert,超級,遡及,そきゅう,4
expert,超級,施行,しこう,2
expert,超級,批准,ひじゅん,3
expert,超級,締結,ていけつ,2
expert,超級,履行,りこう,3
expert,超級,補填,ほてん,3
expert,超級,充当,じゅうとう,2
expert,超級,控除,こうじょ,2
expert,超級,還付,かんぷ,2
expert,超級,滞納,たいのう,2
expert,超級,督促,とくそく,3
expert,超級,債権,さいけん,2
expert,超級,債務,さいむ,2
expert,超級,抵当,ていとう,2
expert,超級,担保,たんぽ,2
expert,超級,融資,ゆうし,2
expert,超級,出納,すいとう,4
expert,超級,為替,かわせ,3
expert,超級,相場,そうば,2
expert,超級,廉価,れんか,3
expert,超級,高騰,こうとう,2
expert,超級,下落,げらく,2
expert,超級,枯渇,こかつ,3
expert,超級,逼迫,ひっぱく,4
expert,超級,緩和,かんわ,2
expert,超級,抑制,よくせい,2
expert,超級,促進,そくしん,2
expert,超級,是正,ぜせい,3
expert,超級,措置,そち,3
expert,超級,趣旨,しゅし,2
expert,超級,要旨,ようし,2
expert,超級,概要,がいよう,1
expert,超級,詳細,しょうさい,2
expert,超級,簡潔,かんけつ,2
expert,超級,冗長,じょうちょう,3
expert,超級,妥当,だとう,2
expert,超級,適宜,てきぎ,3
expert,超級,随時,ずいじ,2
expert,超級,逐次,ちくじ,3
expert,超級,頻繁,ひんぱん,2
expert,超級,希薄,きはく,2
expert,超級,顕著,けんちょ,3
expert,超級,著しい,いちじるしい,3
expert,超級,甚大,じんだい,3
expert,超級,莫大,ばくだい,3
expert,超級,膨大,ぼうだい,2
expert,超級,微細,びさい,2
expert,超級,緻密,ちみつ,3
expert,超級,精緻,せいち,4
expert,超級,粗雑,そざつ,2
expert,超級,巧妙,こうみょう,2
expert,超級,拙劣,せつれつ,3
expert,超級,明瞭,めいりょう,3
expert,超級,曖昧,あいまい,3
expert,超級,漠然,ばくぜん,2
expert,超級,端的,たんてき,2
expert,超級,率直,そっちょく,2
expert,超級,柔軟,じゅうなん,2
expert,超級,頑強,がんきょう,3
expert,超級,堅固,けんご,2
expert,超級,厳粛,げんしゅく,2
expert,超級,荘厳,そうごん,3
expert,超級,崇高,すうこう,3
expert,超級,卑俗,ひぞく,3
expert,超級,謙虚,けんきょ,2
expert,超級,傲慢,ごうまん,3
expert,超級,寛容,かんよう,2
expert,超級,排他,はいた,2
expert,超級,享受,きょうじゅ,3
expert,超級,甘受,かんじゅ,3
expert,超級,受諾,じゅだく,3
expert,超級,拒絶,きょぜつ,2
expert,超級,承諾,しょうだく,2
expert,超級,了承,りょうしょう,2
expert,超級,黙認,もくにん,2
expert,超級,看過,かんか,3
expert,超級,黙殺,もくさつ,2
expert,超級,前代未聞,ぜんだいみもん,4
expert,超級,空前絶後,くうぜんぜつご,4
oni,鬼,言質,げんち,2
oni,鬼,建立,こんりゅう/けんりつ,2
oni,鬼,出色,しゅっしょく,2
oni,鬼,会釈,えしゃく,1
oni,鬼,愛想,あいそ,1
oni,鬼,欠伸,あくび,2
oni,鬼,海女,あま,1
oni,鬼,土産,みやげ,1
oni,鬼,木綿,もめん,1
oni,鬼,浴衣,ゆかた,1
oni,鬼,足袋,たび,1
oni,鬼,雪崩,なだれ,2
oni,鬼,吹雪,ふぶき,1
oni,鬼,時雨,しぐれ,2
oni,鬼,五月雨,さみだれ,2
oni,鬼,陽炎,かげろう,2
oni,鬼,蜃気楼,しんきろう,3
oni,鬼,木漏れ日,こもれび,2
oni,鬼,黄昏,たそがれ,2
oni,鬼,暁,あかつき,2
oni,鬼,黎明,れいめい,3
oni,鬼,払暁,ふつぎょう,4
oni,鬼,未曾有,みぞう,3
oni,鬼,希有,けう,2
oni,鬼,稀有,けう,2
oni,鬼,杜撰,ずさん,3
oni,鬼,齟齬,そご,3
oni,鬼,忖度,そんたく,2
oni,鬼,斟酌,しんしゃく,3
oni,鬼,逡巡,しゅんじゅん,3
oni,鬼,躊躇,ちゅうちょ,3
oni,鬼,狼狽,ろうばい,2
oni,鬼,憔悴,しょうすい,3
oni,鬼,憤慨,ふんがい,2
oni,鬼,慟哭,どうこく,3
oni,鬼,嗚咽,おえつ,3
oni,鬼,咆哮,ほうこう,3
oni,鬼,呟く,つぶやく,2
oni,鬼,囁く,ささやく,2
oni,鬼,喧騒,けんそう,2
oni,鬼,静謐,せいひつ,3
oni,鬼,閑寂,かんじゃく,3
oni,鬼,寂寥,せきりょう,4
oni,鬼,幽玄,ゆうげん,2
oni,鬼,風情,ふぜい,2
oni,鬼,趣,おもむき,2
oni,鬼,雅,みやび,2
oni,鬼,艶,つや/あで,2
oni,鬼,凛然,りんぜん,3
oni,鬼,毅然,きぜん,2
oni,鬼,泰然,たいぜん,2
oni,鬼,悠然,ゆうぜん,2
oni,鬼,厳然,げんぜん,2
oni,鬼,燦然,さんぜん,3
oni,鬼,饒舌,じょうぜつ,3
oni,鬼,寡黙,かもく,2
oni,鬼,朴訥,ぼくとつ,3
oni,鬼,辛辣,しんらつ,2
oni,鬼,慇懃,いんぎん,3
oni,鬼,横柄,おうへい,2
oni,鬼,不遜,ふそん,2
oni,鬼,狡猾,こうかつ,2
oni,鬼,奸悪,かんあく,3
oni,鬼,残虐,ざんぎゃく,2
oni,鬼,獰猛,どうもう,3
oni,鬼,貪欲,どんよく,2
oni,鬼,吝嗇,りんしょく,4
oni,鬼,放埒,ほうらつ,4
oni,鬼,奔放,ほんぽう,2
oni,鬼,豪放,ごうほう,2
oni,鬼,洒脱,しゃだつ,3
oni,鬼,飄逸,ひょういつ,4
oni,鬼,瑕疵,かし,3
oni,鬼,毀損,きそん,3
oni,鬼,改竄,かいざん,3
oni,鬼,捏造,ねつぞう,3
oni,鬼,隠蔽,いんぺい,2
oni,鬼,剽窃,ひょうせつ,4
oni,鬼,贋作,がんさく,3
oni,鬼,真贋,しんがん,3
oni,鬼,贖罪,しょくざい,4
oni,鬼,懺悔,ざんげ,3
oni,鬼,呵責,かしゃく,3
oni,鬼,煩悶,はんもん,3
oni,鬼,葛藤,かっとう,2
oni,鬼,軋轢,あつれき,3
oni,鬼,確執,かくしつ,3
oni,鬼,相克,そうこく,3
oni,鬼,乖離,かいり,3
oni,鬼,隔靴掻痒,かっかそうよう,5
oni,鬼,画竜点睛,がりょうてんせい,4
oni,鬼,換骨奪胎,かんこつだったい,4
oni,鬼,臥薪嘗胆,がしんしょうたん,4
oni,鬼,呉越同舟,ごえつどうしゅう,4
oni,鬼,切磋琢磨,せっさたくま,4
oni,鬼,温故知新,おんこちしん,4
oni,鬼,不撓不屈,ふとうふくつ,4
oni,鬼,乾坤一擲,けんこんいってき,4
oni,鬼,魑魅魍魎,ちみもうりょう,5
oni,鬼,森羅万象,しんらばんしょう,4
oni,鬼,有象無象,うぞうむぞう,4
oni,鬼,跳梁跋扈,ちょうりょうばっこ,5
oni,鬼,傍若無人,ぼうじゃくぶじん,4
oni,鬼,唯我独尊,ゆいがどくそん,4
oni,鬼,厚顔無恥,こうがんむち,4
oni,鬼,荒唐無稽,こうとうむけい,4
oni,鬼,支離滅裂,しりめつれつ,4
oni,鬼,牽強付会,けんきょうふかい,5
oni,鬼,本末転倒,ほんまつてんとう,4
oni,鬼,朝令暮改,ちょうれいぼかい,4
oni,鬼,優柔不断,ゆうじゅうふだん,4
oni,鬼,意気消沈,いきしょうちん,4
oni,鬼,意気軒昂,いきけんこう,4
oni,鬼,気炎万丈,きえんばんじょう,4
oni,鬼,欣喜雀躍,きんきじゃくやく,4
oni,鬼,戦々恐々,せんせんきょうきょう,4
oni,鬼,暗中模索,あんちゅうもさく,4
oni,鬼,五里霧中,ごりむちゅう,4
oni,鬼,紆余曲折,うよきょくせつ,4
oni,鬼,波瀾万丈,はらんばんじょう,4
oni,鬼,百花繚乱,ひゃっかりょうらん,4
beginner,初級,入学,にゅうがく,1
beginner,初級,卒業,そつぎょう,1
beginner,初級,学年,がくねん,1
beginner,初級,学級,がっきゅう,2
beginner,初級,校庭,こうてい,1
beginner,初級,校長,こうちょう,1
beginner,初級,給食,きゅうしょく,1
beginner,初級,宿題,しゅくだい,1
beginner,初級,予習,よしゅう,2
beginner,初級,復習,ふくしゅう,2
beginner,初級,正解,せいかい,1
beginner,初級,間違い,まちがい,1
beginner,初級,文章,ぶんしょう,1
beginner,初級,言葉,ことば,1
beginner,初級,会話,かいわ,1
beginner,初級,発表,はっぴょう,2
beginner,初級,勉強,べんきょう,1
beginner,初級,鉛筆,えんぴつ,1
beginner,初級,消しゴム,けしごむ,1
beginner,初級,定規,じょうぎ,2
beginner,初級,筆箱,ふでばこ,1
beginner,初級,黒板,こくばん,1
beginner,初級,教科書,きょうかしょ,1
beginner,初級,時間割,じかんわり,2
beginner,初級,運動場,うんどうじょう,2
beginner,初級,図画,ずが,2
beginner,初級,工作,こうさく,1
beginner,初級,春休み,はるやすみ,1
beginner,初級,夏休み,なつやすみ,1
beginner,初級,冬休み,ふゆやすみ,1
beginner,初級,遠足,えんそく,1
beginner,初級,運動会,うんどうかい,1
beginner,初級,文化祭,ぶんかさい,2
beginner,初級,入場,にゅうじょう,1
beginner,初級,退場,たいじょう,1
beginner,初級,集合,しゅうごう,1
beginner,初級,解散,かいさん,1
beginner,初級,朝日,あさひ,1
beginner,初級,夕日,ゆうひ,1
beginner,初級,青空,あおぞら,1
beginner,初級,星空,ほしぞら,1
beginner,初級,月夜,つきよ,1
beginner,初級,雪国,ゆきぐに,2
beginner,初級,春風,はるかぜ,1
beginner,初級,秋風,あきかぜ,1
beginner,初級,木陰,こかげ,2
beginner,初級,日陰,ひかげ,1
beginner,初級,草原,そうげん,2
beginner,初級,田畑,たはた,2
beginner,初級,竹林,ちくりん,2
beginner,初級,花畑,はなばたけ,1
beginner,初級,海水,かいすい,1
beginner,初級,地下水,ちかすい,2
beginner,初級,水田,すいでん,1
beginner,初級,用水路,ようすいろ,2
beginner,初級,小川,おがわ,1
beginner,初級,滝口,たきぐち,2
beginner,初級,白鳥,はくちょう,2
beginner,初級,小鳥,ことり,1
beginner,初級,野鳥,やちょう,2
beginner,初級,金魚,きんぎょ,1
beginner,初級,子犬,こいぬ,1
beginner,初級,子猫,こねこ,1
beginner,初級,牧場,ぼくじょう,2
beginner,初級,動物園,どうぶつえん,1
beginner,初級,水族館,すいぞくかん,2
beginner,初級,植物園,しょくぶつえん,2
beginner,初級,食堂,しょくどう,1
beginner,初級,弁当,べんとう,1
beginner,初級,台所,だいどころ,1
beginner,初級,食器,しょっき,2
beginner,初級,調味料,ちょうみりょう,2
beginner,初級,砂糖,さとう,1
beginner,初級,食塩,しょくえん,2
beginner,初級,小麦粉,こむぎこ,1
beginner,初級,大豆,だいず,1
beginner,初級,豆腐,とうふ,1
beginner,初級,郵便,ゆうびん,1
beginner,初級,手紙,てがみ,1
beginner,初級,切手,きって,1
beginner,初級,荷物,にもつ,1
beginner,初級,配達,はいたつ,2
beginner,初級,交番,こうばん,1
beginner,初級,消防署,しょうぼうしょ,2
beginner,初級,警察署,けいさつしょ,2
beginner,初級,市役所,しやくしょ,2
beginner,初級,駅員,えきいん,1
beginner,初級,乗車,じょうしゃ,2
beginner,初級,下車,げしゃ,2
beginner,初級,発車,はっしゃ,2
beginner,初級,停車,ていしゃ,2
beginner,初級,特急,とっきゅう,2
beginner,初級,急行,きゅうこう,2
beginner,初級,各駅,かくえき,2
beginner,初級,改札,かいさつ,2
beginner,初級,歩道,ほどう,1
beginner,初級,横断歩道,おうだんほどう,2
beginner,初級,右側,みぎがわ,1
beginner,初級,左側,ひだりがわ,1
beginner,初級,東口,ひがしぐち,1
beginner,初級,西口,にしぐち,1
beginner,初級,南口,みなみぐち,1
beginner,初級,北口,きたぐち,1
beginner,初級,近道,ちかみち,1
beginner,初級,回り道,まわりみち,1
beginner,初級,危険,きけん,1
beginner,初級,用意,ようい,1
beginner,初級,準備,じゅんび,2
beginner,初級,片付け,かたづけ,1
beginner,初級,約束,やくそく,1
beginner,初級,予定,よてい,1
beginner,初級,開始,かいし,1
beginner,初級,終了,しゅうりょう,1
intermediate,中級,委員会,いいんかい,1
intermediate,中級,生徒会,せいとかい,1
intermediate,中級,部活動,ぶかつどう,1
intermediate,中級,放課後,ほうかご,1
intermediate,中級,校則,こうそく,2
intermediate,中級,制服,せいふく,1
intermediate,中級,出席,しゅっせき,1
intermediate,中級,欠席,けっせき,1
intermediate,中級,遅刻,ちこく,1
intermediate,中級,早退,そうたい,1
intermediate,中級,受験,じゅけん,1
intermediate,中級,試験,しけん,1
intermediate,中級,答案,とうあん,2
intermediate,中級,採点,さいてん,2
intermediate,中級,成績,せいせき,1
intermediate,中級,課題,かだい,1
intermediate,中級,提出,ていしゅつ,1
intermediate,中級,締切,しめきり,1
intermediate,中級,進路,しんろ,1
intermediate,中級,就職,しゅうしょく,1
intermediate,中級,勤務,きんむ,2
intermediate,中級,職場,しょくば,1
intermediate,中級,作業,さぎょう,1
intermediate,中級,休憩,きゅうけい,1
intermediate,中級,残業,ざんぎょう,1
intermediate,中級,給料,きゅうりょう,1
intermediate,中級,収入,しゅうにゅう,1
intermediate,中級,支出,ししゅつ,2
intermediate,中級,予算,よさん,1
intermediate,中級,会計,かいけい,1
intermediate,中級,領収書,りょうしゅうしょ,2
intermediate,中級,現金,げんきん,1
intermediate,中級,貯金,ちょきん,1
intermediate,中級,両替,りょうがえ,2
intermediate,中級,税金,ぜいきん,2
intermediate,中級,値段,ねだん,1
intermediate,中級,景色,けしき,1
intermediate,中級,風景,ふうけい,1
intermediate,中級,観光,かんこう,1
intermediate,中級,名所,めいしょ,1
intermediate,中級,史跡,しせき,2
intermediate,中級,寺院,じいん,2
intermediate,中級,神社,じんじゃ,1
intermediate,中級,城下町,じょうかまち,2
intermediate,中級,温泉,おんせん,1
intermediate,中級,宿泊,しゅくはく,1
intermediate,中級,予約,よやく,1
intermediate,中級,往復,おうふく,1
intermediate,中級,片道,かたみち,1
intermediate,中級,乗換,のりかえ,1
intermediate,中級,時刻表,じこくひょう,2
intermediate,中級,運賃,うんちん,2
intermediate,中級,座席,ざせき,1
intermediate,中級,満席,まんせき,1
intermediate,中級,空席,くうせき,1
intermediate,中級,車窓,しゃそう,2
intermediate,中級,気温,きおん,1
intermediate,中級,天候,てんこう,1
intermediate,中級,予報,よほう,1
intermediate,中級,降水量,こうすいりょう,2
intermediate,中級,積雪,せきせつ,2
intermediate,中級,雷雨,らいう,2
intermediate,中級,強風,きょうふう,1
intermediate,中級,洪水,こうずい,2
intermediate,中級,災害,さいがい,1
intermediate,中級,避難,ひなん,1
intermediate,中級,警報,けいほう,1
intermediate,中級,救助,きゅうじょ,2
intermediate,中級,救急,きゅうきゅう,1
intermediate,中級,復旧,ふっきゅう,2
intermediate,中級,被害,ひがい,1
intermediate,中級,被災地,ひさいち,2
intermediate,中級,再利用,さいりよう,1
intermediate,中級,節約,せつやく,1
intermediate,中級,省エネ,しょうえね,2
intermediate,中級,公害,こうがい,2
intermediate,中級,大気,たいき,1
intermediate,中級,水質,すいしつ,2
intermediate,中級,土壌,どじょう,2
intermediate,中級,生態系,せいたいけい,2
intermediate,中級,社会保障,しゃかいほしょう,2
intermediate,中級,規則,きそく,1
intermediate,中級,投票,とうひょう,1
intermediate,中級,議員,ぎいん,1
intermediate,中級,内閣,ないかく,2
intermediate,中級,裁判,さいばん,1
intermediate,中級,判決,はんけつ,2
intermediate,中級,犯罪,はんざい,1
intermediate,中級,証拠,しょうこ,2
intermediate,中級,読者,どくしゃ,1
advanced,上級,考察,こうさつ,1
advanced,上級,推論,すいろん,2
advanced,上級,反論,はんろん,1
advanced,上級,討論,とうろん,1
advanced,上級,議論,ぎろん,1
advanced,上級,妥協,だきょう,2
